sample_id,pair_id,status,label_source
HOLD-067,PAIR-034,available,two_rater_agreement
HOLD-068,PAIR-034,available,two_rater_agreement
HOLD-069,PAIR-035,available,two_rater_agreement
HOLD-070,PAIR-035,available,two_rater_agreement
HOLD-071,PAIR-036,available,two_rater_agreement
HOLD-072,PAIR-036,available,two_rater_agreement
HOLD-073,PAIR-037,available,third_rater
HOLD-074,PAIR-037,available,third_rater
HOLD-075,PAIR-038,available,third_rater
HOLD-076,PAIR-038,available,third_rater
HOLD-077,PAIR-039,available,third_rater
HOLD-078,PAIR-039,available,third_rater
HOLD-079,PAIR-040,available,third_rater
HOLD-080,PAIR-040,available,third_rater
HOLD-081,PAIR-041,available,two_rater_agreement
HOLD-082,PAIR-041,available,two_rater_agreement
HOLD-083,PAIR-042,available,two_rater_agreement
HOLD-084,PAIR-042,available,two_rater_agreement
HOLD-085,PAIR-043,available,two_rater_agreement
HOLD-086,PAIR-043,available,two_rater_agreement
HOLD-087,PAIR-044,available,two_rater_agreement
HOLD-088,PAIR-044,available,two_rater_agreement
HOLD-089,PAIR-045,available,two_rater_agreement
HOLD-090,PAIR-045,available,two_rater_agreement
HOLD-091,PAIR-046,available,two_rater_agreement
HOLD-092,PAIR-046,available,two_rater_agreement
HOLD-093,PAIR-047,available,two_rater_agreement
HOLD-094,PAIR-047,available,two_rater_agreement
HOLD-095,PAIR-048,available,two_rater_agreement
HOLD-096,PAIR-048,available,two_rater_agreement
HOLD-097,PAIR-049,available,two_rater_agreement
HOLD-098,PAIR-049,available,two_rater_agreement
HOLD-099,PAIR-050,available,two_rater_agreement
HOLD-100,PAIR-050,available,two_rater_agreement
HOLD-101,PAIR-051,available,two_rater_agreement
HOLD-102,PAIR-051,available,two_rater_agreement
HOLD-103,PAIR-052,available,two_rater_agreement
HOLD-104,PAIR-052,available,third_rater
HOLD-105,PAIR-053,available,two_rater_agreement
HOLD-106,PAIR-053,available,two_rater_agreement
HOLD-107,PAIR-054,available,two_rater_agreement
HOLD-108,PAIR-054,available,two_rater_agreement
HOLD-109,PAIR-055,available,two_rater_agreement
HOLD-110,PAIR-055,available,two_rater_agreement
HOLD-111,PAIR-056,available,two_rater_agreement
HOLD-112,PAIR-056,available,two_rater_agreement
HOLD-113,PAIR-057,available,third_rater
HOLD-114,PAIR-057,available,third_rater
HOLD-115,PAIR-058,available,third_rater
HOLD-116,PAIR-058,available,third_rater
HOLD-117,PAIR-059,available,third_rater
HOLD-118,PAIR-059,available,third_rater
HOLD-119,PAIR-060,available,third_rater
HOLD-120,PAIR-060,available,third_rater
HOLD-121,PAIR-061,available,third_rater
HOLD-122,PAIR-061,available,two_rater_agreement
HOLD-123,PAIR-062,available,two_rater_agreement
HOLD-124,PAIR-062,available,two_rater_agreement
HOLD-125,PAIR-063,available,two_rater_agreement
HOLD-126,PAIR-063,available,two_rater_agreement
HOLD-127,PAIR-064,available,two_rater_agreement
HOLD-128,PAIR-064,available,two_rater_agreement
HOLD-129,PAIR-065,available,two_rater_agreement
HOLD-130,PAIR-065,available,two_rater_agreement
HOLD-131,PAIR-066,available,two_rater_agreement
HOLD-132,PAIR-066,available,two_rater_agreement
HOLD-133,PAIR-067,available,two_rater_agreement
HOLD-134,PAIR-067,available,two_rater_agreement
HOLD-135,PAIR-068,available,two_rater_agreement
HOLD-136,PAIR-068,available,two_rater_agreement
HOLD-137,PAIR-069,available,third_rater
HOLD-138,PAIR-069,available,third_rater
HOLD-139,PAIR-070,available,third_rater
HOLD-140,PAIR-070,available,third_rater
HOLD-141,PAIR-071,available,two_rater_agreement
HOLD-142,PAIR-071,available,third_rater
HOLD-143,PAIR-072,available,third_rater
HOLD-144,PAIR-072,available,third_rater
HOLD-145,PAIR-073,available,third_rater
HOLD-146,PAIR-073,available,two_rater_agreement
HOLD-147,PAIR-074,available,two_rater_agreement
HOLD-148,PAIR-074,available,third_rater
HOLD-149,PAIR-075,available,third_rater
HOLD-150,PAIR-075,available,two_rater_agreement
HOLD-151,PAIR-076,available,third_rater
HOLD-152,PAIR-076,available,third_rater
HOLD-153,PAIR-077,available,two_rater_agreement
HOLD-154,PAIR-077,available,two_rater_agreement
HOLD-155,PAIR-078,available,two_rater_agreement
HOLD-156,PAIR-078,available,two_rater_agreement
HOLD-157,PAIR-079,available,two_rater_agreement
HOLD-158,PAIR-079,available,two_rater_agreement
HOLD-159,PAIR-080,available,two_rater_agreement
HOLD-160,PAIR-080,available,two_rater_agreement
HOLD-161,PAIR-081,available,third_rater
HOLD-162,PAIR-081,available,two_rater_agreement
HOLD-163,PAIR-082,available,two_rater_agreement
HOLD-164,PAIR-082,available,two_rater_agreement
HOLD-165,PAIR-083,available,two_rater_agreement
HOLD-166,PAIR-083,available,two_rater_agreement
HOLD-167,PAIR-084,available,two_rater_agreement
HOLD-168,PAIR-084,available,two_rater_agreement
HOLD-169,PAIR-085,available,two_rater_agreement
HOLD-170,PAIR-085,available,two_rater_agreement
HOLD-171,PAIR-086,available,two_rater_agreement
HOLD-172,PAIR-086,available,two_rater_agreement
HOLD-173,PAIR-087,available,two_rater_agreement
HOLD-174,PAIR-087,available,two_rater_agreement
HOLD-175,PAIR-088,available,third_rater
HOLD-176,PAIR-088,available,third_rater
HOLD-177,PAIR-089,available,two_rater_agreement
HOLD-178,PAIR-089,available,two_rater_agreement
HOLD-179,PAIR-090,available,third_rater
HOLD-180,PAIR-090,available,third_rater
HOLD-181,PAIR-091,available,two_rater_agreement
HOLD-182,PAIR-091,available,two_rater_agreement
HOLD-183,PAIR-092,available,two_rater_agreement
HOLD-184,PAIR-092,available,two_rater_agreement
HOLD-185,PAIR-093,available,third_rater
HOLD-186,PAIR-093,available,third_rater
HOLD-187,PAIR-094,available,third_rater
HOLD-188,PAIR-094,available,third_rater
HOLD-189,PAIR-095,available,third_rater
HOLD-190,PAIR-095,available,third_rater
HOLD-191,PAIR-096,available,two_rater_agreement
HOLD-192,PAIR-096,available,two_rater_agreement
HOLD-193,PAIR-097,available,two_rater_agreement
HOLD-194,PAIR-097,available,two_rater_agreement
HOLD-195,PAIR-098,available,third_rater
HOLD-196,PAIR-098,available,third_rater
HOLD-197,PAIR-099,available,third_rater
HOLD-198,PAIR-099,available,third_rater
HOLD-199,PAIR-100,available,two_rater_agreement
HOLD-200,PAIR-100,available,two_rater_agreement
HOLD-201,PAIR-101,available,third_rater
HOLD-202,PAIR-101,available,third_rater
HOLD-203,PAIR-102,available,two_rater_agreement
HOLD-204,PAIR-102,available,two_rater_agreement
HOLD-205,PAIR-103,available,two_rater_agreement
HOLD-206,PAIR-103,available,two_rater_agreement
HOLD-207,PAIR-104,available,two_rater_agreement
HOLD-208,PAIR-104,available,two_rater_agreement
HOLD-209,PAIR-105,available,two_rater_agreement
HOLD-210,PAIR-105,available,two_rater_agreement
HOLD-211,PAIR-106,available,third_rater
HOLD-212,PAIR-106,available,third_rater
HOLD-213,PAIR-107,available,third_rater
HOLD-214,PAIR-107,available,third_rater
HOLD-215,PAIR-108,available,two_rater_agreement
HOLD-216,PAIR-108,available,two_rater_agreement
HOLD-217,PAIR-109,available,two_rater_agreement
HOLD-218,PAIR-109,available,two_rater_agreement
HOLD-219,PAIR-110,available,two_rater_agreement
HOLD-220,PAIR-110,available,two_rater_agreement
HOLD-221,PAIR-111,available,third_rater
HOLD-222,PAIR-111,available,third_rater
HOLD-223,PAIR-112,available,third_rater
HOLD-224,PAIR-112,available,two_rater_agreement
HOLD-225,PAIR-113,available,two_rater_agreement
HOLD-226,PAIR-113,available,two_rater_agreement
HOLD-227,PAIR-114,available,third_rater
HOLD-228,PAIR-114,available,third_rater
HOLD-229,PAIR-115,available,third_rater
HOLD-230,PAIR-115,available,two_rater_agreement
HOLD-231,PAIR-116,available,two_rater_agreement
HOLD-232,PAIR-116,available,two_rater_agreement
HOLD-233,PAIR-117,available,third_rater
HOLD-234,PAIR-117,available,third_rater
HOLD-235,PAIR-118,available,two_rater_agreement
HOLD-236,PAIR-118,available,two_rater_agreement
HOLD-237,PAIR-119,available,third_rater
HOLD-238,PAIR-119,available,third_rater
HOLD-239,PAIR-120,available,two_rater_agreement
HOLD-240,PAIR-120,available,two_rater_agreement
