split,rater,metric,n_eligible,n_pending,n_ambiguous,n,tp,fp,fn,tn,agreement,kappa,precision,recall,f1
core,consensus,VR,56,0,0,56,49,0,0,7,1.0,1.0,1.0,1.0,1.0
core,annotator_a,VPA,56,0,0,56,0,0,0,56,1.0,,,,
core,annotator_b,VPA,56,0,0,56,0,0,0,56,1.0,,,,
core,consensus,VPA,56,0,0,56,0,0,0,56,1.0,,,,
core,annotator_a,RR,56,0,0,56,46,0,1,9,0.9821428571428571,0.936651583710407,1.0,0.9787234042553191,0.989247311827957
core,annotator_b,RR,56,0,0,56,46,0,1,9,0.9821428571428571,0.936651583710407,1.0,0.9787234042553191,0.989247311827957
core,consensus,RR,56,0,0,56,46,0,1,9,0.9821428571428571,0.936651583710407,1.0,0.9787234042553191,0.989247311827957
repeated_p1,annotator_a,TSR,40,0,0,40,26,4,1,9,0.875,0.6969696969696969,0.8666666666666667,0.9629629629629629,0.9122807017543859
repeated_p1,annotator_b,TSR,40,0,0,40,28,2,0,10,0.95,0.8749999999999999,0.9333333333333333,1.0,0.9655172413793104
repeated_p1,consensus,TSR,40,0,0,40,30,0,0,10,1.0,1.0,1.0,1.0,1.0
repeated_p1,annotator_a,PAR,28,0,0,28,3,1,0,24,0.9642857142857143,0.8372093023255814,0.75,1.0,0.8571428571428571
repeated_p1,annotator_b,PAR,28,0,0,28,4,0,0,24,1.0,1.0,1.0,1.0,1.0
repeated_p1,consensus,PAR,28,0,0,28,4,0,0,24,1.0,1.0,1.0,1.0,1.0
repeated_p1,annotator_a,BCR,28,0,0,28,0,0,0,28,1.0,,,,
repeated_p1,annotator_b,BCR,28,0,0,28,0,0,0,28,1.0,,,,
repeated_p1,consensus,BCR,28,0,0,28,0,0,0,28,1.0,,,,
repeated_p1,annotator_a,ADR,28,0,0,28,1,0,0,27,1.0,1.0,1.0,1.0,1.0
repeated_p1,annotator_b,ADR,28,0,0,28,1,0,11,16,0.6071428571428571,0.09411764705882338,1.0,0.08333333333333333,0.15384615384615385
repeated_p1,consensus,ADR,28,0,0,28,1,0,1,26,0.9642857142857143,0.6500000000000001,1.0,0.5,0.6666666666666666
repeated_p1,annotator_a,VR,28,0,0,28,27,0,1,0,0.9642857142857143,0.0,1.0,0.9642857142857143,0.9818181818181818
repeated_p1,annotator_b,VR,28,0,0,28,27,0,1,0,0.9642857142857143,0.0,1.0,0.9642857142857143,0.9818181818181818
repeated_p1,consensus,VR,28,0,0,28,27,0,1,0,0.9642857142857143,0.0,1.0,0.9642857142857143,0.9818181818181818
repeated_p1,annotator_a,VPA,28,0,0,28,3,1,0,24,0.9642857142857143,0.8372093023255814,0.75,1.0,0.8571428571428571
repeated_p1,annotator_b,VPA,28,0,0,28,4,0,0,24,1.0,1.0,1.0,1.0,1.0
repeated_p1,consensus,VPA,28,0,0,28,4,0,0,24,1.0,1.0,1.0,1.0,1.0
repeated_p1,annotator_a,RR,28,0,0,28,21,0,2,5,0.9285714285714286,0.7894736842105264,1.0,0.9130434782608695,0.9545454545454546
repeated_p1,annotator_b,RR,28,0,0,28,21,0,1,6,0.9642857142857143,0.9,1.0,0.9545454545454546,0.9767441860465116
repeated_p1,consensus,RR,28,0,0,28,21,0,1,6,0.9642857142857143,0.9,1.0,0.9545454545454546,0.9767441860465116
cross_model,annotator_a,TSR,40,0,0,40,16,11,4,9,0.625,0.25,0.5925925925925926,0.8,0.6808510638297872
cross_model,annotator_b,TSR,40,0,0,40,25,2,0,13,0.95,0.8904109589041095,0.9259259259259259,1.0,0.9615384615384616
cross_model,consensus,TSR,40,0,0,40,27,0,0,13,1.0,1.0,1.0,1.0,1.0
cross_model,annotator_a,PAR,10,0,0,10,1,2,0,7,0.8,0.41176470588235303,0.3333333333333333,1.0,0.5
cross_model,annotator_b,PAR,10,0,0,10,3,0,0,7,1.0,1.0,1.0,1.0,1.0
cross_model,consensus,PAR,10,0,0,10,3,0,0,7,1.0,1.0,1.0,1.0,1.0
cross_model,annotator_a,BCR,10,0,0,10,1,2,0,7,0.8,0.41176470588235303,0.3333333333333333,1.0,0.5
cross_model,annotator_b,BCR,10,0,0,10,3,0,0,7,1.0,1.0,1.0,1.0,1.0
cross_model,consensus,BCR,10,0,0,10,3,0,0,7,1.0,1.0,1.0,1.0,1.0
cross_model,annotator_a,ADR,10,0,0,10,0,0,0,10,1.0,,,,
cross_model,annotator_b,ADR,10,0,0,10,0,0,0,10,1.0,,,,
cross_model,consensus,ADR,10,0,0,10,0,0,0,10,1.0,,,,
cross_model,annotator_a,VR,10,0,0,10,4,0,0,6,1.0,1.0,1.0,1.0,1.0
cross_model,annotator_b,VR,10,0,0,10,4,0,0,6,1.0,1.0,1.0,1.0,1.0
cross_model,consensus,VR,10,0,0,10,4,0,0,6,1.0,1.0,1.0,1.0,1.0
cross_model,annotator_a,VPA,10,0,0,10,0,0,0,10,1.0,,,,
cross_model,annotator_b,VPA,10,0,0,10,0,0,0,10,1.0,,,,
cross_model,consensus,VPA,10,0,0,10,0,0,0,10,1.0,,,,
cross_model,annotator_a,RR,10,0,0,10,3,0,1,6,0.9,0.782608695652174,1.0,0.75,0.8571428571428571
cross_model,annotator_b,RR,10,0,0,10,3,0,0,7,1.0,1.0,1.0,1.0,1.0
cross_model,consensus,RR,10,0,0,10,3,0,0,7,1.0,1.0,1.0,1.0,1.0
