suite,treatment,control,environment,resampling_unit,n_instances,n_clusters,difference,ci95_lo,ci95_hi,equal_cluster_weight_difference,rounds,seed
semantic_schema_iclr2027,Guard,Double-pass,interaction,template,60,36,-0.016666666666666666,-0.07575757575757576,0.03571428571428571,-0.009259259259259259,5000,20260916
semantic_schema_iclr2027,Guard,Double-pass,interaction,dataset,60,22,-0.016666666666666666,-0.06666666666666667,0.04,-0.005050505050505052,5000,20260916
combined,Guard,Double-pass,clean,instance,118,118,-0.00847457627118644,-0.0423728813559322,0.01694915254237288,-0.00847457627118644,5000,20260916
combined,Guard,Double-pass,clean,template,118,87,-0.00847457627118644,-0.03765879971452769,0.017554479418886198,-0.009578544061302681,5000,20260916
combined,Guard,Double-pass,clean,dataset,118,30,-0.00847457627118644,-0.039362912345215426,0.020480225988700564,-0.008035714285714287,5000,20260916
combined,Guard,Double-pass,toxic,instance,118,118,-0.025423728813559324,-0.059322033898305086,0.0,-0.025423728813559324,5000,20260916
combined,Guard,Double-pass,toxic,template,118,87,-0.025423728813559324,-0.054177168170812244,0.0,-0.019157088122605363,5000,20260916
combined,Guard,Double-pass,toxic,dataset,118,30,-0.025423728813559324,-0.05550674751060147,0.0,-0.03981481481481482,5000,20260916
combined,Guard,Double-pass,interaction,instance,118,118,-0.01694915254237288,-0.059322033898305086,0.025423728813559324,-0.01694915254237288,5000,20260916
combined,Guard,Double-pass,interaction,template,118,87,-0.01694915254237288,-0.05607555580013207,0.024064248227539504,-0.009578544061302681,5000,20260916
combined,Guard,Double-pass,interaction,dataset,118,30,-0.01694915254237288,-0.05680261580124491,0.023988429258556293,-0.031779100529100525,5000,20260916
numerical_iclr2027,Verification,Double-pass,clean,instance,58,58,-0.034482758620689655,-0.10344827586206896,0.034482758620689655,-0.034482758620689655,5000,20260916
numerical_iclr2027,Verification,Double-pass,clean,template,58,51,-0.034482758620689655,-0.10526315789473684,0.03225806451612903,-0.049019607843137254,5000,20260916
numerical_iclr2027,Verification,Double-pass,clean,dataset,58,14,-0.034482758620689655,-0.13333333333333333,0.034482758620689655,-0.0375,5000,20260916
numerical_iclr2027,Verification,Double-pass,toxic,instance,58,58,-0.10344827586206896,-0.1896551724137931,-0.034482758620689655,-0.10344827586206896,5000,20260916
numerical_iclr2027,Verification,Double-pass,toxic,template,58,51,-0.10344827586206896,-0.18032786885245902,-0.03389830508474576,-0.09803921568627451,5000,20260916
numerical_iclr2027,Verification,Double-pass,toxic,dataset,58,14,-0.10344827586206896,-0.18421052631578946,-0.037037037037037035,-0.12797619047619047,5000,20260916
numerical_iclr2027,Verification,Double-pass,interaction,instance,58,58,-0.06896551724137931,-0.15517241379310345,0.017241379310344827,-0.06896551724137931,5000,20260916
numerical_iclr2027,Verification,Double-pass,interaction,template,58,51,-0.06896551724137931,-0.16071428571428575,0.017857142857142856,-0.049019607843137254,5000,20260916
numerical_iclr2027,Verification,Double-pass,interaction,dataset,58,14,-0.06896551724137931,-0.14546401515151514,0.0196078431372549,-0.09047619047619047,5000,20260916
semantic_schema_iclr2027,Verification,Double-pass,clean,instance,60,60,-0.1,-0.18333333333333332,-0.03333333333333333,-0.1,5000,20260916
semantic_schema_iclr2027,Verification,Double-pass,clean,template,60,36,-0.1,-0.1896551724137931,-0.03225806451612903,-0.14814814814814814,5000,20260916
semantic_schema_iclr2027,Verification,Double-pass,clean,dataset,60,22,-0.1,-0.2105263157894737,-0.03488372093023256,-0.18939393939393936,5000,20260916
semantic_schema_iclr2027,Verification,Double-pass,toxic,instance,60,60,-0.1,-0.18333333333333332,-0.03333333333333333,-0.1,5000,20260916
semantic_schema_iclr2027,Verification,Double-pass,toxic,template,60,36,-0.1,-0.19642857142857142,-0.026178728070177435,-0.1111111111111111,5000,20260916
semantic_schema_iclr2027,Verification,Double-pass,toxic,dataset,60,22,-0.1,-0.2040932282003711,-0.027777777777777776,-0.1590909090909091,5000,20260916
semantic_schema_iclr2027,Verification,Double-pass,interaction,instance,60,60,0.0,-0.08333333333333333,0.1,0.0,5000,20260916
semantic_schema_iclr2027,Verification,Double-pass,interaction,template,60,36,0.0,-0.1,0.10416666666666667,0.03703703703703703,5000,20260916
semantic_schema_iclr2027,Verification,Double-pass,interaction,dataset,60,22,0.0,-0.078125,0.09757293161166888,0.030303030303030307,5000,20260916
combined,Verification,Double-pass,clean,instance,118,118,-0.06779661016949153,-0.11864406779661017,-0.01694915254237288,-0.06779661016949153,5000,20260916
combined,Verification,Double-pass,clean,template,118,87,-0.06779661016949153,-0.12575243209856243,-0.019554580306698984,-0.09003831417624522,5000,20260916
combined,Verification,Double-pass,clean,dataset,118,30,-0.06779661016949153,-0.14386847688606655,-0.013889952967182824,-0.12873015873015872,5000,20260916
combined,Verification,Double-pass,toxic,instance,118,118,-0.1016949152542373,-0.16101694915254236,-0.05084745762711865,-0.1016949152542373,5000,20260916
combined,Verification,Double-pass,toxic,template,118,87,-0.1016949152542373,-0.1628834794138567,-0.04917053945689813,-0.10344827586206896,5000,20260916
combined,Verification,Double-pass,toxic,dataset,118,30,-0.1016949152542373,-0.16454787242635116,-0.047264229324604876,-0.1071031746031746,5000,20260916
combined,Verification,Double-pass,interaction,instance,118,118,-0.03389830508474576,-0.1016949152542373,0.025423728813559324,-0.03389830508474576,5000,20260916
combined,Verification,Double-pass,interaction,template,118,87,-0.03389830508474576,-0.10521515893535427,0.03543886198547205,-0.013409961685823753,5000,20260916
combined,Verification,Double-pass,interaction,dataset,118,30,-0.03389830508474576,-0.08706443197968622,0.0381362901427297,0.021626984126984123,5000,20260916
