job_id,event_index,mode,seeded,target_field,exposed,changed_aliases,residual_clean_aliases
v4_bike_07_retry_1_full,0,full,True,True,True,3,0
v4_penguins_02_retry_1_full,0,full,True,True,True,3,0
v4_bike_01_verify_1_clean,0,clean,True,True,False,0,3
v4_bike_03_retry_2_clean,0,clean,True,True,False,0,3
v4_auto_mpg_07_retry_2_full,0,full,True,True,True,3,0
v4_bike_02_verify_1_full,0,full,True,True,True,3,0
v4_auto_mpg_05_retry_1_clean,0,clean,True,True,False,0,3
v4_bike_03_verify_2_clean,0,clean,True,True,False,0,3
v4_penguins_04_retry_1_full,0,full,True,True,True,3,0
v4_bike_06_retry_1_clean,0,clean,True,True,False,0,3
v4_penguins_07_verify_2_clean,0,clean,True,True,False,0,3
v4_penguins_07_verify_2_clean,1,clean,False,False,False,0,0
v4_penguins_06_verify_1_full,0,full,True,True,True,3,0
v4_penguins_03_retry_1_full,0,full,True,True,True,3,0
v4_bike_07_verify_1_clean,0,clean,True,True,False,0,3
v4_bike_07_verify_1_clean,1,clean,False,False,False,0,0
v4_bike_01_retry_1_clean,0,clean,True,True,False,0,3
v4_penguins_04_verify_2_full,0,full,True,True,True,3,0
v4_penguins_02_retry_2_full,0,full,True,True,True,3,0
v4_auto_mpg_05_retry_1_full,0,full,True,True,True,3,0
v4_penguins_06_retry_1_clean,0,clean,True,True,False,0,3
v4_penguins_03_verify_1_clean,0,clean,True,True,False,0,3
