summary,model,adapter,metric,old_value,revised_value,delta
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,poisoned_tsr,0.240000,0.240000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,delta_tsr,0.760000,0.760000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,toxic_bcr,0.860000,0.860000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,toxic_par,0.860000,0.860000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,toxic_vpa,0.000000,0.000000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,toxic_adr,0.000000,0.000000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,toxic_vr,0.000000,0.000000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,toxic_rr,0.000000,0.000000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,clean_tsr,0.790000,0.790000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,poisoned_tsr,0.650000,0.650000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,delta_tsr,0.150000,0.150000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,toxic_bcr,0.280000,0.280000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,toxic_par,0.280000,0.280000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,toxic_vpa,0.000000,0.000000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,toxic_adr,0.000000,0.000000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,toxic_vr,0.330000,0.330000,+0.000000
cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,toxic_rr,0.330000,0.330000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,clean_tsr,0.740000,0.740000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,poisoned_tsr,0.680000,0.680000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,delta_tsr,0.060000,0.060000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,toxic_bcr,0.070000,0.070000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,toxic_par,0.100000,0.100000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,toxic_vpa,0.000000,0.000000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,toxic_adr,0.070000,0.070000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,toxic_vr,0.170000,0.170000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,toxic_rr,0.170000,0.170000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,clean_tsr,0.880000,0.880000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,poisoned_tsr,0.680000,0.680000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,delta_tsr,0.210000,0.210000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,toxic_bcr,0.130000,0.130000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,toxic_par,0.130000,0.130000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,toxic_vpa,0.000000,0.000000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,toxic_adr,0.030000,0.030000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,toxic_vr,0.190000,0.190000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,toxic_rr,0.160000,0.160000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,clean_tsr,0.970000,0.970000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,poisoned_tsr,0.240000,0.240000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,delta_tsr,0.740000,0.740000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,toxic_bcr,0.740000,0.740000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,toxic_par,0.740000,0.740000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,toxic_vpa,0.000000,0.000000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,toxic_adr,0.000000,0.000000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,toxic_vr,0.000000,0.000000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,toxic_rr,0.000000,0.000000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,clean_tsr,1.000000,1.000000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,poisoned_tsr,0.820000,0.820000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,delta_tsr,0.180000,0.180000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,toxic_bcr,0.140000,0.140000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,toxic_par,0.140000,0.140000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,toxic_vpa,0.000000,0.000000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,toxic_adr,0.000000,0.000000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,toxic_vr,0.610000,0.610000,+0.000000
cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,toxic_rr,0.610000,0.610000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,clean_tsr,0.940000,0.940000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,poisoned_tsr,0.500000,0.500000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,delta_tsr,0.440000,0.440000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,toxic_bcr,0.520000,0.520000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,toxic_par,0.520000,0.520000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,toxic_vpa,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,toxic_adr,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,toxic_vr,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,toxic_rr,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,da_agent_full,clean_tsr,0.850000,0.850000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,da_agent_full,poisoned_tsr,0.530000,0.530000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,da_agent_full,delta_tsr,0.320000,0.320000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,da_agent_full,toxic_bcr,0.380000,0.380000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,da_agent_full,toxic_par,0.380000,0.380000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,da_agent_full,toxic_vpa,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,da_agent_full,toxic_adr,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,da_agent_full,toxic_vr,0.450000,0.450000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,da_agent_full,toxic_rr,0.410000,0.410000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,clean_tsr,1.000000,1.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,poisoned_tsr,0.320000,0.320000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,delta_tsr,0.680000,0.680000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,toxic_bcr,0.690000,0.690000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,toxic_par,0.690000,0.690000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,toxic_vpa,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,toxic_adr,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,toxic_vr,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,toxic_rr,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,clean_tsr,1.000000,1.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,poisoned_tsr,0.350000,0.350000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,delta_tsr,0.650000,0.650000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,toxic_bcr,0.620000,0.620000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,toxic_par,0.620000,0.620000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,toxic_vpa,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,toxic_adr,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,toxic_vr,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,toxic_rr,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,clean_tsr,0.970000,0.970000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,poisoned_tsr,0.620000,0.620000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,delta_tsr,0.350000,0.350000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,toxic_bcr,0.520000,0.520000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,toxic_par,0.520000,0.520000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,toxic_vpa,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,toxic_adr,0.000000,0.000000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,toxic_vr,0.240000,0.240000,+0.000000
cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,toxic_rr,0.240000,0.240000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,autogen_tool_agent,clean_tsr,0.920000,0.920000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,autogen_tool_agent,poisoned_tsr,0.540000,0.540000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,autogen_tool_agent,delta_tsr,0.380000,0.380000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,autogen_tool_agent,toxic_bcr,0.250000,0.250000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,autogen_tool_agent,toxic_par,0.250000,0.250000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,autogen_tool_agent,toxic_vpa,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,autogen_tool_agent,toxic_adr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,autogen_tool_agent,toxic_vr,0.330000,0.330000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,autogen_tool_agent,toxic_rr,0.250000,0.250000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,langgraph_react_full,clean_tsr,1.000000,1.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,langgraph_react_full,poisoned_tsr,0.790000,0.790000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,langgraph_react_full,delta_tsr,0.210000,0.210000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,langgraph_react_full,toxic_bcr,0.210000,0.210000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,langgraph_react_full,toxic_par,0.210000,0.210000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,langgraph_react_full,toxic_vpa,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,langgraph_react_full,toxic_adr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,langgraph_react_full,toxic_vr,0.620000,0.620000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,langgraph_react_full,toxic_rr,0.620000,0.620000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,clean_tsr,0.830000,0.830000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,poisoned_tsr,0.210000,0.210000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,delta_tsr,0.620000,0.620000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,toxic_bcr,1.000000,1.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,toxic_par,1.000000,1.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,toxic_vpa,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,toxic_adr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,toxic_vr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,pandasai_dataframe,toxic_rr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,clean_tsr,1.000000,1.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,poisoned_tsr,0.460000,0.460000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,delta_tsr,0.540000,0.540000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,toxic_bcr,0.580000,0.580000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,toxic_par,0.680000,0.680000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,toxic_vpa,0.110000,0.110000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,toxic_adr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,toxic_vr,0.160000,0.160000,+0.000000
semantic_schema_cross_model_summary.csv,Qwen3.6-35B-A3B-no-thinking,smolagents_toolcalling,toxic_rr,0.050000,0.050000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,clean_tsr,0.580000,0.580000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,poisoned_tsr,0.330000,0.330000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,delta_tsr,0.250000,0.250000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,toxic_bcr,0.040000,0.040000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,toxic_par,0.040000,0.040000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,toxic_vpa,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,toxic_adr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,toxic_vr,0.500000,0.500000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,autogen_tool_agent,toxic_rr,0.290000,0.290000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,clean_tsr,1.000000,1.000000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,poisoned_tsr,0.960000,0.960000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,delta_tsr,0.040000,0.040000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,toxic_bcr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,toxic_par,0.040000,0.040000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,toxic_vpa,0.040000,0.040000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,toxic_adr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,toxic_vr,0.750000,0.750000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,langgraph_react_full,toxic_rr,0.710000,0.710000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,clean_tsr,0.960000,0.960000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,poisoned_tsr,0.250000,0.250000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,delta_tsr,0.710000,0.710000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,toxic_bcr,0.940000,0.940000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,toxic_par,0.940000,0.940000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,toxic_vpa,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,toxic_adr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,toxic_vr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,pandasai_dataframe,toxic_rr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,clean_tsr,1.000000,1.000000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,poisoned_tsr,0.710000,0.710000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,delta_tsr,0.290000,0.290000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,toxic_bcr,0.260000,0.260000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,toxic_par,0.300000,0.300000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,toxic_vpa,0.040000,0.040000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,toxic_adr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,toxic_vr,0.350000,0.350000,+0.000000
semantic_schema_cross_model_summary.csv,claude-sonnet-4-6,smolagents_toolcalling,toxic_rr,0.300000,0.300000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,clean_tsr,1.000000,1.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,poisoned_tsr,0.710000,0.710000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,delta_tsr,0.290000,0.290000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,toxic_bcr,0.250000,0.250000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,toxic_par,0.290000,0.290000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,toxic_vpa,0.040000,0.040000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,toxic_adr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,toxic_vr,0.580000,0.580000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,autogen_tool_agent,toxic_rr,0.540000,0.540000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,clean_tsr,1.000000,1.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,poisoned_tsr,0.790000,0.790000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,delta_tsr,0.210000,0.210000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,toxic_bcr,0.210000,0.210000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,toxic_par,0.210000,0.210000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,toxic_vpa,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,toxic_adr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,toxic_vr,0.620000,0.620000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,langgraph_react_full,toxic_rr,0.620000,0.620000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,clean_tsr,1.000000,1.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,poisoned_tsr,0.250000,0.250000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,delta_tsr,0.750000,0.750000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,toxic_bcr,1.000000,1.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,toxic_par,1.000000,1.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,toxic_vpa,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,toxic_adr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,toxic_vr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,pandasai_dataframe,toxic_rr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,clean_tsr,1.000000,1.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,poisoned_tsr,0.460000,0.460000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,delta_tsr,0.540000,0.540000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,toxic_bcr,0.600000,0.600000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,toxic_par,0.650000,0.650000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,toxic_vpa,0.050000,0.050000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,toxic_adr,0.000000,0.000000,+0.000000
semantic_schema_cross_model_summary.csv,gpt-5.4-mini,smolagents_toolcalling,toxic_vr,0.050000,0.050000,+0.000000
