experiment,suite,variant,tasks,source
langgraph_guard,semantic_schema,Expectation only,toxictool_bench/tasks/semantic_schema_iclr2027.jsonl,toxictool_bench/results/20260727-185413_langgraph_react_expectation_only_gpt-5.4-mini_both.jsonl
langgraph_guard,semantic_schema,Verification only,toxictool_bench/tasks/semantic_schema_iclr2027.jsonl,toxictool_bench/results/20260727-191339_langgraph_react_verification_only_gpt-5.4-mini_both.jsonl
langgraph_guard,semantic_schema,Full guard,toxictool_bench/tasks/semantic_schema_iclr2027.jsonl,toxictool_bench/results/20260727-195623_langgraph_react_guarded_gpt-5.4-mini_both.jsonl
langgraph_guard,semantic_schema,Light guard,toxictool_bench/tasks/semantic_schema_iclr2027.jsonl,toxictool_bench/results/20260727-204150_langgraph_react_guarded_light_gpt-5.4-mini_both.jsonl
langgraph_guard,numerical,Base,toxictool_bench/tasks/numerical_iclr2027.jsonl,toxictool_bench/results/20260727-212412_langgraph_react_full_gpt-5.4-mini_both.jsonl
langgraph_guard,numerical,Caution only,toxictool_bench/tasks/numerical_iclr2027.jsonl,toxictool_bench/results/20260727-214226_langgraph_react_caution_gpt-5.4-mini_both.jsonl
langgraph_guard,numerical,Expectation only,toxictool_bench/tasks/numerical_iclr2027.jsonl,toxictool_bench/results/20260727-220136_langgraph_react_expectation_only_gpt-5.4-mini_both.jsonl
langgraph_guard,numerical,Verification only,toxictool_bench/tasks/numerical_iclr2027.jsonl,toxictool_bench/results/20260727-222017_langgraph_react_verification_only_gpt-5.4-mini_both.jsonl
langgraph_guard,numerical,Full guard,toxictool_bench/tasks/numerical_iclr2027.jsonl,toxictool_bench/results/20260727-230614_langgraph_react_guarded_gpt-5.4-mini_both.jsonl
langgraph_guard,numerical,Light guard,toxictool_bench/tasks/numerical_iclr2027.jsonl,toxictool_bench/results/20260727-234618_langgraph_react_guarded_light_gpt-5.4-mini_both.jsonl
autogen_guard,combined,Verification only,toxictool_bench/tasks/numerical_iclr2027.jsonl;toxictool_bench/tasks/semantic_schema_iclr2027.jsonl,toxictool_bench/results/autogen_verification_only_gpt-5.4-mini_expanded120_combined.jsonl
autogen_guard,combined,Full guard,toxictool_bench/tasks/numerical_iclr2027.jsonl;toxictool_bench/tasks/semantic_schema_iclr2027.jsonl,toxictool_bench/results/autogen_guarded_gpt-5.4-mini_expanded120_combined.jsonl
multitable,realistic_extension,Base,toxictool_bench/tasks/realistic_extension_iclr2027.jsonl,toxictool_bench/results/20260728-002920_langgraph_react_full_gpt-5.4-mini_both.jsonl
multitable,realistic_extension,Full guard,toxictool_bench/tasks/realistic_extension_iclr2027.jsonl,toxictool_bench/results/20260728-003314_langgraph_react_guarded_gpt-5.4-mini_both.jsonl
multitable,realistic_extension,Light guard,toxictool_bench/tasks/realistic_extension_iclr2027.jsonl,toxictool_bench/results/20260728-004224_langgraph_react_guarded_light_gpt-5.4-mini_both.jsonl
alternative_baseline,numerical,Abstain,toxictool_bench/tasks/numerical_iclr2027_stratified20.jsonl,toxictool_bench/results/20260819-201605_langgraph_react_abstain_gpt-5.4-mini_both.jsonl
alternative_baseline,numerical,Randomized,toxictool_bench/tasks/numerical_iclr2027_stratified20.jsonl,toxictool_bench/results/20260819-202654_langgraph_react_randomized_gpt-5.4-mini_both.jsonl
alternative_baseline,numerical,Selective,toxictool_bench/tasks/numerical_iclr2027_stratified20.jsonl,toxictool_bench/results/20260819-203525_langgraph_react_selective_gpt-5.4-mini_both.jsonl
alternative_baseline,semantic_schema,Abstain,toxictool_bench/tasks/semantic_schema_iclr2027_stratified10.jsonl,toxictool_bench/results/20260819-204338_langgraph_react_abstain_gpt-5.4-mini_both.jsonl
alternative_baseline,semantic_schema,Randomized,toxictool_bench/tasks/semantic_schema_iclr2027_stratified10.jsonl,toxictool_bench/results/20260819-204923_langgraph_react_randomized_gpt-5.4-mini_both.jsonl
alternative_baseline,semantic_schema,Selective,toxictool_bench/tasks/semantic_schema_iclr2027_stratified10.jsonl,toxictool_bench/results/20260819-205356_langgraph_react_selective_gpt-5.4-mini_both.jsonl
multiroute_stress,semantic_schema,p=0.00,toxictool_bench/tasks/semantic_schema_iclr2027_stratified10.jsonl,toxictool_bench/results/20260819-200022_langgraph_react_guarded_gpt-5.4-mini_toxic.jsonl
multiroute_stress,semantic_schema,p=0.25,toxictool_bench/tasks/semantic_schema_iclr2027_stratified10.jsonl,toxictool_bench/results/20260819-200256_langgraph_react_guarded_gpt-5.4-mini_toxic.jsonl
multiroute_stress,semantic_schema,p=0.50,toxictool_bench/tasks/semantic_schema_iclr2027_stratified10.jsonl,toxictool_bench/results/20260819-200600_langgraph_react_guarded_gpt-5.4-mini_toxic.jsonl
multiroute_stress,semantic_schema,p=1.00,toxictool_bench/tasks/semantic_schema_iclr2027_stratified10.jsonl,toxictool_bench/results/20260819-200918_langgraph_react_guarded_gpt-5.4-mini_toxic.jsonl
